state,;,.,program,identifier,(,),constant,constant-definition,var,:,begin,end,integer,real,boolean,string,",",:=,writeln,number,readln,repeat-stateexpressionment,while,do,repeat,until,for,to,downto,if,then,else,+,-,not,=,<>,<,<=,>,>=,or,*,/,div,mod,and,$,programa',programa,program-heading,opt-program-parameters,program-parameters,program-block,constant-declaration-part,more-constant-definition,variable-declaration-part,more-variable-declaration,variable-declaration,statement-part,type,identifier-list,more-identifier,statement-sequence,more-statement,statement,simple-statement,assignment-statement,IO-statement,writeln-statement,opt-element-list,element-list,more-element,element,readln-statement,opt-identifier-list,structured-statement,compound-statement,repetitive-statement,while-statement,repeat-statement,for-statement,to-downto,conditional-statement,opt-else,expression,opt-rel-expression,simple-expression,opt-sign,more-add-term,term,more-mult-term,factor,relational-operator,addition-operator,multiplication-operator
27,s54,,,,,,,,,,,r26,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,r27,,,,,,,,,,,r27,,,,,,,,,,,,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,r28,,,,,,,,,,,r28,,,,,,,,,,,,,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,r29,,,,,,,,,,,r29,,,,,,,,,,,,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r30,,,,,,,,,,,r30,,,,,,,,,,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,r47,,,,,,,,,,,r47,,,,,,,,,,,,,,r47,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r48,,,,,,,,,,,r48,,,,,,,,,,,,,,r48,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,r49,,,,,,,,,,,r49,,,,,,,,,,,,,,r49,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,r33,,,,,,,,,,,r33,,,,,,,,,,,,,,r33,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,r34,,,,,,,,,,,r34,,,,,,,,,,,,,,r34,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r31,,,s35,,,,,,,s38,r31,,,,,,,s43,,s44,s40,s45,,,r31,s46,,,s42,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,27,28,30,31,36,,,,,37,,29,32,33,39,,41,,34,,,,,,,,,,,,
39,r51,,,,,,,,,,,r51,,,,,,,,,,,,,,r51,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,r52,,,,,,,,,,,r52,,,,,,,,,,,,,,r52,,,,,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r53,,,,,,,,,,,r53,,,,,,,,,,,,,,r53,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,r68,r68,,,,,,,,,,,r68,,,,r68,,,,,,,,,,,,,s60,s61,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,58,59,,,,,,,
43,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
